Region,Country,City,Day,AvgTemperature,AvgTemperatureCelsia
North America,US,Birmingham,13,54.8,12.67
North America,US,Huntsville,13,52.5,11.39
North America,US,Mobile,13,61.6,16.44
North America,US,Montgomery,13,55.1,12.83
North America,US,Anchorage,13,16.2,-8.78
North America,US,Fairbanks,13,25.0,-3.89
North America,US,Juneau,13,26.7,-2.94
North America,US,Phoenix,13,74.2,23.44
North America,US,Tucson,13,69.8,21.0
North America,US,Fort Smith,13,53.0,11.67
North America,US,Little Rock,13,53.1,11.72
North America,US,Fresno,13,55.4,13.0
North America,US,Los Angeles,13,61.7,16.5
North America,US,Sacramento,13,56.0,13.33
North America,US,San Diego,13,63.7,17.61
North America,US,San Francisco,13,59.7,15.39
North America,US,Colorado Springs,13,49.8,9.89
North America,US,Denver,13,50.3,10.17
North America,US,Grand Junction,13,47.5,8.61
North America,US,Pueblo,13,47.6,8.67
North America,US,Bridgeport,13,40.7,4.83
North America,US,Hartford Springfield,13,34.5,1.39
North America,US,Washington,13,45.2,7.33
North America,US,Washington,13,45.2,7.33
North America,US,Washington DC,13,45.2,7.33
North America,US,Washington DC,13,45.2,7.33
North America,US,Jacksonville,13,66.3,19.06
North America,US,Miami Beach,13,79.2,26.22
North America,US,Orlando,13,72.8,22.67
North America,US,Tallahassee,13,64.7,18.17
North America,US,Tampa St. Petersburg,13,76.5,24.72
North America,US,West Palm Beach,13,76.5,24.72
North America,US,Atlanta,13,52.2,11.22
North America,US,Columbus,13,57.1,13.94
North America,US,Macon,13,53.6,12.0
North America,US,Savannah,13,60.3,15.72
North America,US,Honolulu,13,78.5,25.83
North America,US,Boise,13,47.1,8.39
North America,US,Pocatello,13,39.9,4.39
North America,US,Chicago,13,36.4,2.44
North America,US,Peoria,13,38.6,3.67
North America,US,Rockford,13,32.7,0.39
North America,US,Springfield,13,41.6,5.33
North America,US,Evansville,13,44.4,6.89
North America,US,Fort Wayne,13,38.4,3.56
North America,US,Indianapolis,13,39.6,4.22
North America,US,South Bend,13,38.0,3.33
North America,US,Des Moines,13,35.1,1.72
North America,US,Sioux City,13,32.4,0.22
North America,US,Goodland,13,43.5,6.39
North America,US,Topeka,13,42.1,5.61
North America,US,Wichita,13,47.5,8.61
North America,US,Lexington,13,44.0,6.67
North America,US,Louisville,13,45.3,7.39
North America,US,Paducah,13,46.8,8.22
North America,US,Lake Charles,13,67.1,19.5
North America,US,New Orleans,13,66.1,18.94
North America,US,Shreveport,13,61.1,16.17
North America,US,Caribou,13,24.8,-4.0
North America,US,Portland,13,29.4,-1.44
North America,US,Baltimore,13,41.9,5.5
North America,US,Boston,13,39.6,4.22
North America,US,Detroit,13,38.5,3.61
North America,US,Flint,13,36.6,2.56
North America,US,Grand Rapids,13,38.1,3.39
North America,US,Lansing,13,36.8,2.67
North America,US,Sault Ste Marie,13,34.5,1.39
North America,US,Duluth,13,25.5,-3.61
North America,US,Minneapolis St. Paul,13,33.2,0.67
North America,US,Jackson,13,63.7,17.61
North America,US,Tupelo,13,51.8,11.0
North America,US,Kansas City,13,42.9,6.06
North America,US,Springfield,13,47.6,8.67
North America,US,St Louis,13,43.8,6.56
North America,US,Billings,13,38.1,3.39
North America,US,Great Falls,13,41.8,5.44
North America,US,Helena,13,29.0,-1.67
North America,US,Lincoln,13,35.7,2.06
North America,US,North Platte,13,43.7,6.5
North America,US,Omaha,13,36.7,2.61
North America,US,Reno,13,48.4,9.11
North America,US,Las Vegas,13,59.2,15.11
North America,US,Concord,13,28.9,-1.72
North America,US,Atlantic City,13,41.2,5.11
North America,US,Newark,13,42.3,5.72
North America,US,Albuquerque,13,56.6,13.67
North America,US,Albany,13,35.3,1.83
North America,US,Buffalo,13,36.8,2.67
North America,US,New York City,13,45.4,7.44
North America,US,Rochester,13,38.7,3.72
North America,US,Syracuse,13,35.8,2.11
North America,US,Asheville,13,48.7,9.28
North America,US,Charlotte,13,48.6,9.22
North America,US,Greensboro,13,47.7,8.72
North America,US,Raleigh Durham,13,47.8,8.78
North America,US,Bismarck,13,36.0,2.22
North America,US,Fargo,13,34.9,1.61
North America,US,Akron Canton,13,39.2,4.0
